"Points:0","Points:1","Points:2","U_new:0","U_new:1","U_new:2","f"
1.6877,-0.096167,7.5061e-18,0.8,-0.8,0,-6.455e-22
1.5958,-0.0042426,1.4136e-18,0.8,-0.8,0,-6.455e-22
1.6898,-0.094045,-0.0051962,0.8,-0.8,0,-6.455e-22
1.5979,-0.0021213,-0.0051962,0.8,-0.8,0,-6.455e-22
1.694,-0.089803,-0.0051962,0.8,-0.8,0,-6.455e-22
1.6021,0.0021213,-0.0051962,0.8,-0.8,0,-6.455e-22
1.6962,-0.087681,5.4136e-18,0.8,-0.8,0,-6.455e-22
1.694,-0.089803,0.0051962,0.8,-0.8,0,-6.455e-22
1.6898,-0.094045,0.0051962,0.8,-0.8,0,-6.455e-22
1.6877,-0.096167,7.5061e-18,0.8,-0.8,0,-6.455e-22
1.6898,-0.094045,-0.0051962,0.8,-0.8,0,-6.455e-22
1.694,-0.089803,-0.0051962,0.8,-0.8,0,-6.455e-22
1.6021,0.0021213,-0.0051962,0.8,-0.8,0,-6.455e-22
1.5979,-0.0021213,-0.0051962,0.8,-0.8,0,-6.455e-22
1.5958,-0.0042426,1.4136e-18,0.8,-0.8,0,-6.455e-22
1.5979,-0.0021213,0.0051962,0.8,-0.8,0,-6.455e-22
1.6021,0.0021213,0.0051962,0.8,-0.8,0,-6.455e-22
1.6042,0.0042426,-6.7886e-19,0.8,-0.8,0,-6.455e-22
1.7414,-0.14142,9.373e-18,0.8,-0.8,0,-6.455e-22
1.6778,-0.10607,8.3553e-18,0.8,-0.8,0,-6.455e-22
1.6849,-0.098995,-0.017321,0.8,-0.8,0,-6.455e-22
1.699,-0.084853,-0.017321,0.8,-0.8,0,-6.455e-22
1.7061,-0.077782,1.3803e-18,0.8,-0.8,0,-6.455e-22
1.699,-0.084853,0.017321,0.8,-0.8,0,-6.455e-22
1.6849,-0.098995,0.017321,0.8,-0.8,0,-6.455e-22
2.0162,-0.087681,5.4136e-18,0.8,-0.8,0,5.8765e-21
